Index;Load;Biomass;Fossil Gas;Fossil Hard coal;Fossil Oil;Hydro Pumped Storage Generation;Hydro Pumped Storage Consumption;Hydro Run-of-river and poundage;Hydro Water Reservoir;Nuclear;Solar;Waste;Wind Offshore;Wind Onshore
2024-01-01 00:00:00+01:00;52847;343;1810;15;162;;2033;4822;1481;40387;225;87;578;14399
2024-01-01 01:00:00+01:00;51600;343;1840;16;191;;2067;4767;1282;37528;0;83;577;14157
2024-01-01 02:00:00+01:00;50992;343;1787;16;190;;1685;4918;1005;37320;0;87;578;13789
2024-01-01 03:00:00+01:00;48187;343;1778;15;190;;1989;4876;936;36954;0;87;577;12816
2024-01-01 04:00:00+01:00;46479;343;1765;15;191;;1967;4863;798;36906;0;88;576;8031
2024-01-01 05:00:00+01:00;46285;343;1779;15;191;;2687;4869;731;36344;0;93;570;7678
2024-01-01 06:00:00+01:00;46633;342;1766;15;190;;2764;4797;734;36148;0;91;567;7520
2024-01-01 07:00:00+01:00;46820;343;1769;15;190;;2416;4655;760;36740;0;93;556;7142
2024-01-01 08:00:00+01:00;46877;343;1881;15;190;;2378;4682;1058;36510;246;93;565;6942
2024-01-01 09:00:00+01:00;47690;344;1877;16;190;;2692;4811;750;35080;318;94;542;10361
2024-01-01 10:00:00+01:00;49158;343;1894;16;190;;2615;4859;766;35665;933;94;410;10525
2024-01-01 11:00:00+01:00;50275;343;1896;16;190;;2639;4828;848;36702;2454;96;465;9949
2024-01-01 12:00:00+01:00;50897;343;1894;16;191;;2189;4812;854;36729;4021;95;545;9505
2024-01-01 13:00:00+01:00;49197;343;1914;16;191;;2116;4755;850;37065;4883;93;558;9492
2024-01-01 14:00:00+01:00;48355;342;1898;16;191;;2051;4882;930;36874;4926;93;550;9209
2024-01-01 15:00:00+01:00;47879;342;1867;16;191;;712;5009;1169;37189;4188;92;551;8667
2024-01-01 16:00:00+01:00;47633;343;1870;16;191;36;;5224;1731;38429;2703;93;571;8035
2024-01-01 17:00:00+01:00;50761;343;1870;16;191;1176;;5346;2611;41068;971;95;574;8125
2024-01-01 18:00:00+01:00;53965;343;1884;16;190;2073;;5458;2559;43655;257;96;569;9316
2024-01-01 19:00:00+01:00;54973;343;1888;15;191;2597;;5719;2581;44280;0;96;570;11235
2024-01-01 20:00:00+01:00;53641;342;1884;16;191;2710;;5724;2314;44019;0;94;568;12970
2024-01-01 21:00:00+01:00;52244;342;1910;16;190;2222;;5452;2008;43293;0;98;568;14329
2024-01-01 22:00:00+01:00;53034;342;1900;16;190;811;;5243;1627;42694;0;97;566;15231
2024-01-01 23:00:00+01:00;53157;343;1885;15;190;892;;5217;1692;42717;0;93;565;15469
2024-01-02 00:00:00+01:00;50832;341;1916;15;190;;107;5169;1550;41802;0;89;568;15712
2024-01-02 01:00:00+01:00;49234;342;1999;15;190;;1559;4990;1671;41061;0;92;568;15931
2024-01-02 02:00:00+01:00;48397;343;1964;15;191;;2928;5008;1723;41321;0;91;568;16148
2024-01-02 03:00:00+01:00;46148;343;1977;15;190;;3023;4923;988;39933;0;94;568;16062
2024-01-02 04:00:00+01:00;45319;342;1986;16;190;;2958;4874;1032;37751;0;96;565;15999
2024-01-02 05:00:00+01:00;46963;343;1995;16;191;;2846;4820;938;37508;0;96;568;15937
2024-01-02 06:00:00+01:00;50314;343;2004;16;191;;2444;4791;1114;38121;0;96;568;15869
2024-01-02 07:00:00+01:00;53487;342;2012;15;191;;1802;4940;1576;42400;0;93;568;15714
2024-01-02 08:00:00+01:00;55847;342;2025;15;191;;801;5289;2027;44249;232;93;564;15713
2024-01-02 09:00:00+01:00;57652;341;2020;15;190;924;;5748;2333;44449;281;92;568;15712
2024-01-02 10:00:00+01:00;59159;342;2039;16;191;1840;;5916;2356;44788;611;91;568;15932
2024-01-02 11:00:00+01:00;60575;342;2010;15;191;1826;;5855;2294;45383;1346;89;568;16293
2024-01-02 12:00:00+01:00;61433;342;2000;16;191;2262;;5877;2260;45568;1971;91;568;16462
2024-01-02 13:00:00+01:00;60080;343;2022;16;191;2258;;5760;2226;45557;2175;91;560;16553
2024-01-02 14:00:00+01:00;59888;342;1993;16;191;1989;;5704;2677;45621;2242;90;562;16784
2024-01-02 15:00:00+01:00;58747;342;1983;16;191;1408;;5690;2615;45624;1832;89;563;16765
2024-01-02 16:00:00+01:00;57433;342;1970;16;191;730;;5690;2605;45663;1063;90;561;16673
2024-01-02 17:00:00+01:00;58778;343;2013;16;191;;27;5874;2143;46161;484;93;564;16576
2024-01-02 18:00:00+01:00;61040;342;2020;16;190;427;;5994;2283;46137;236;93;567;16276
2024-01-02 19:00:00+01:00;61209;342;2019;16;188;2106;;6234;2722;46189;0;92;568;16187
2024-01-02 20:00:00+01:00;58059;342;2034;15;188;3270;;6277;2778;46399;0;93;568;15963
2024-01-02 21:00:00+01:00;55019;343;2023;15;188;1458;;6181;2574;46327;0;92;568;16114
2024-01-02 22:00:00+01:00;54961;342;2032;15;190;;1117;5567;1746;45327;0;94;568;16290
2024-01-02 23:00:00+01:00;54616;342;2027;15;189;;2042;5413;1780;44678;0;96;567;16064
2024-01-03 00:00:00+01:00;52058;342;2016;15;190;;2425;5321;1598;43408;0;96;568;16124
2024-01-03 01:00:00+01:00;50384;342;2025;15;190;;2083;5270;1349;43383;0;97;568;16055
2024-01-03 02:00:00+01:00;49378;342;2023;15;190;;2153;5118;1249;42570;0;97;567;14970
2024-01-03 03:00:00+01:00;47164;341;2028;15;189;;1944;5040;1940;41998;0;98;568;9681
2024-01-03 04:00:00+01:00;46297;342;2037;15;190;;2636;5086;1215;41797;0;98;568;9585
2024-01-03 05:00:00+01:00;47997;342;2057;15;190;;2732;5120;1008;41358;0;98;568;9515
2024-01-03 06:00:00+01:00;52066;342;2062;16;190;;1642;5194;1118;41745;0;98;568;14618
2024-01-03 07:00:00+01:00;55581;341;2052;16;190;;1670;5222;1397;43626;0;96;568;15676
2024-01-03 08:00:00+01:00;58221;333;2066;16;191;;1585;5398;1954;45816;240;94;566;15852
2024-01-03 09:00:00+01:00;59455;331;2073;16;191;;839;5781;2469;46750;317;93;564;15974
2024-01-03 10:00:00+01:00;60022;331;2084;16;190;;242;5834;2363;46709;871;92;548;15710
2024-01-03 11:00:00+01:00;60811;331;2093;16;191;;198;5634;2416;46665;1994;90;564;15615
2024-01-03 12:00:00+01:00;60735;331;2090;16;191;;382;5600;2353;46746;2900;93;564;15795
2024-01-03 13:00:00+01:00;59067;315;2110;16;191;;209;5668;2097;46599;3510;89;565;16152
2024-01-03 14:00:00+01:00;58893;323;2116;16;191;;462;5596;1977;46475;3519;90;567;16208
2024-01-03 15:00:00+01:00;57683;325;2016;16;191;99;;5624;2602;46745;2984;90;565;16179
2024-01-03 16:00:00+01:00;56846;324;2046;16;191;673;;5910;2646;46836;1727;90;560;16269
2024-01-03 17:00:00+01:00;58996;325;2045;16;191;603;;6049;2650;46695;647;91;560;16697
2024-01-03 18:00:00+01:00;61693;323;2063;16;191;953;;6440;2908;46828;247;92;558;16713
2024-01-03 19:00:00+01:00;62084;320;2058;16;191;2068;;6618;3366;46955;0;91;560;16596
2024-01-03 20:00:00+01:00;58888;324;2058;16;190;2716;;6574;3211;46947;0;89;560;16444
2024-01-03 21:00:00+01:00;55723;323;2056;16;190;1945;;6433;3010;46973;0;90;560;16295
2024-01-03 22:00:00+01:00;55781;324;2061;16;190;933;;6179;2345;46659;0;90;560;16073
2024-01-03 23:00:00+01:00;55519;324;2062;15;190;624;;5988;2468;46237;0;91;560;15563
2024-01-04 00:00:00+01:00;53126;323;2076;15;190;;454;5809;2280;46103;0;93;559;14967
2024-01-04 01:00:00+01:00;51288;326;2104;15;190;;1550;5649;1683;45553;0;95;555;14589
2024-01-04 02:00:00+01:00;50469;322;2096;15;191;;2076;5606;1358;45503;0;95;539;13833
2024-01-04 03:00:00+01:00;48260;322;2104;15;190;;2144;5465;1603;44481;0;95;549;13421
2024-01-04 04:00:00+01:00;47341;321;2117;16;191;;2615;5311;1196;43877;0;95;530;12959
2024-01-04 05:00:00+01:00;49266;320;2124;16;191;;2317;5378;1220;44310;0;95;507;12289
2024-01-04 06:00:00+01:00;53286;326;2209;16;191;;1691;5597;1861;45320;0;94;505;11522
2024-01-04 07:00:00+01:00;57123;331;2502;16;191;;276;5844;2587;46180;0;91;438;10522
2024-01-04 08:00:00+01:00;60152;331;3158;16;190;1345;;6120;3173;46334;244;89;424;9878
2024-01-04 09:00:00+01:00;60875;332;3593;16;190;1974;;6105;3555;46373;369;88;484;9259
2024-01-04 10:00:00+01:00;61051;332;4095;15;187;2319;;6268;3631;46415;1437;90;455;8610
2024-01-04 11:00:00+01:00;61337;331;4355;15;187;1535;;6320;3416;46467;3397;83;432;7969
2024-01-04 12:00:00+01:00;60736;331;4565;15;187;872;;6327;3206;46492;5129;68;466;7710
2024-01-04 13:00:00+01:00;58823;331;4757;15;187;1696;;6254;3285;46516;5620;92;452;7799
